Velocity,Frequency
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,2
15,0
16,0
17,2
18,2
19,0
20,0
21,1
22,1
23,1
24,0
25,0
26,3
27,3
28,0
29,2
30,0
31,4
32,0
33,0
34,1
35,0
36,1
37,2
38,1
39,1
40,2
41,2
42,3
43,5
44,0
45,0
46,0
47,2
48,0
49,1
50,3
51,1
52,4
53,2
54,0
55,2
56,0
57,2
58,1
59,0
60,2
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,0
73,0
74,1
75,1
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,3
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
