Velocity,Frequency
1,1
2,0
3,1
4,0
5,2
6,1
7,3
8,1
9,0
10,0
11,3
12,1
13,1
14,0
15,2
16,0
17,2
18,3
19,4
20,2
21,0
22,6
23,2
24,3
25,4
26,3
27,3
28,2
29,4
30,2
31,5
32,0
33,2
34,2
35,3
36,1
37,5
38,2
39,2
40,7
41,4
42,3
43,3
44,0
45,3
46,3
47,0
48,1
49,0
50,2
51,0
52,1
53,4
54,1
55,2
56,2
57,2
58,2
59,1
60,0
61,1
62,0
63,3
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
