Velocity,Frequency
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,3
15,2
16,0
17,0
18,1
19,1
20,2
21,0
22,1
23,2
24,2
25,1
26,0
27,2
28,1
29,0
30,0
31,1
32,0
33,2
34,1
35,0
36,1
37,1
38,1
39,0
40,2
41,1
42,2
43,2
44,1
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,1
57,2
58,0
59,1
60,2
61,2
62,0
63,0
64,3
65,4
66,3
67,4
68,2
69,2
70,3
71,3
72,1
73,1
74,4
75,7
76,5
77,6
78,3
79,1
80,3
81,1
82,1
83,3
84,0
85,1
86,2
87,2
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
