MIDI Value,Occurrences
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,9
50,10
51,13
52,14
53,15
54,16
55,17
56,17
57,18
58,18
59,18
60,18
61,17
62,16
63,15
64,15
65,15
66,15
67,14
68,14
69,14
70,13
71,13
72,11
73,11
74,9
75,6
76,4
77,4
78,3
79,3
80,3
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
