Velocity,Frequency
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,1
33,2
34,0
35,0
36,0
37,0
38,0
39,1
40,2
41,5
42,1
43,2
44,1
45,0
46,1
47,0
48,0
49,1
50,0
51,0
52,2
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,1
61,0
62,3
63,2
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,2
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
