Time (s),Frequency
3.3093749999999997,1
3.5760416666666663,1
3.9359374999999996,1
4.6161458333333325,1
4.759895833333332,1
5.189583333333332,1
5.368229166666666,1
5.776041666666666,1
6.01875,1
6.344270833333333,2
6.429166666666666,1
6.45625,1
6.680208333333333,1
6.7411458333333325,1
7.040104166666666,1
7.152083333333333,1
7.4052083333333325,2
7.871874999999999,1
8.013541666666667,1
8.421354166666667,1
8.530729166666667,1
8.6984375,1
8.770833333333334,1
9.144270833333334,1
9.277604166666666,1
9.722916666666666,2
9.783854166666666,1
9.823958333333334,1
10.319791666666667,1
10.458854166666667,1
10.7359375,1
10.8828125,1
10.986458333333333,1
11.1546875,1
11.5625,1
12.205208333333333,1
12.413541666666667,1
12.552083333333334,1
12.631770833333334,1
12.645312500000001,1
12.856250000000001,1
12.9546875,1
13.157291666666667,1
13.264062500000001,1
13.511979166666668,1
13.642708333333335,1
13.677604166666669,2
13.946875000000002,1
14.069270833333336,1
14.335937500000004,1
14.773437500000004,1
14.895833333333337,1
14.952083333333338,1
15.162500000000005,1
15.282812500000006,1
15.38958333333334,1
15.42395833333334,1
15.445312500000007,1
15.48020833333334,1
15.640104166666674,1
15.754687500000008,1
15.877604166666675,1
15.895833333333341,1
16.047916666666673,1
16.14427083333334,1
16.50677083333334,1
17.410937500000006,1
17.610937500000006,2
17.66666666666667,1
17.682812500000004,1
17.853125000000006,1
17.946875000000006,1
18.130729166666672,1
18.24270833333334,1
18.626562500000006,1
18.717187500000005,1
19.09322916666667,1
19.288020833333338,1
19.44270833333334,1
19.853125000000006,1
19.911979166666672,1
19.938541666666673,1
20.202604166666674,2
20.226562500000007,1
20.25052083333334,1
20.48802083333334,1
21.247916666666676,1
21.27187500000001,2
21.519791666666674,1
21.66927083333334,1
21.71458333333334,1
21.728125000000006,1
21.74427083333334,1
21.810937500000005,1
21.96510416666667,2
21.98385416666667,1
22.000000000000004,1
22.20520833333334,1
22.30677083333334,1
22.46927083333334,1
22.84270833333334,1
22.965104166666674,1
23.92552083333334,1
23.978645833333342,1
24.368229166666676,1
24.421354166666678,1
24.450520833333343,1
24.650520833333342,1
24.680208333333344,1
24.695833333333344,1
24.725520833333345,1
24.962500000000013,1
25.061458333333345,1
25.288020833333345,2
25.35468750000001,1
25.373437500000012,1
25.616145833333345,1
25.631770833333345,1
25.65312500000001,1
25.752083333333342,1
26.431770833333342,1
26.877604166666675,1
26.94427083333334,1
26.992187500000007,1
27.090625000000006,1
27.226562500000007,1
27.410937500000006,2
27.562500000000007,1
27.63177083333334,1
27.776041666666675,1
28.285416666666674,1
28.445312500000007,1
28.464062500000008,1
28.759895833333342,1
29.26145833333334,1
29.453125000000007,1
29.666666666666675,1
29.877604166666675,2
29.904166666666676,1
29.93333333333334,1
30.282812500000006,1
30.68020833333334,1
30.738541666666674,1
30.765104166666674,1
30.970833333333342,1
31.997395833333343,1
32.021354166666676,2
32.04791666666667,1
32.29583333333334,1
32.429166666666674,1
32.44270833333334,1
32.51718750000001,2
32.55729166666668,1
32.57864583333335,1
32.74114583333335,1
32.75729166666668,1
32.86666666666668,1
32.986458333333346,1
33.264062500000016,1
33.285416666666684,1
33.51458333333335,1
33.928125000000016,1
33.994791666666686,1
34.293229166666684,1
34.31718750000002,1
34.35208333333335,1
34.47447916666668,1
34.51718750000001,1
34.71197916666668,1
34.81354166666668,1
35.01354166666668,1
35.117187500000014,1
35.28281250000001,1
35.39739583333335,1
35.541145833333346,1
35.56510416666668,1
35.816145833333344,1
36.40781250000001,1
36.57604166666668,1
36.722916666666684,1
36.95989583333335,2
36.986458333333346,1
37.013541666666676,1
37.21093750000001,1
37.29322916666668,1
37.50677083333334,2
37.706770833333344,1
38.36822916666668,1
38.52291666666668,1
38.84531250000001,1
38.90677083333335,1
38.925520833333344,1
39.117187500000014,2
39.13593750000001,1
39.15468750000001,1
39.298437500000006,1
39.38125000000001,1
39.55989583333334,1
40.25885416666667,1
40.357291666666676,2
40.541145833333346,1
40.650520833333346,1
40.81354166666668,1
40.82916666666668,1
41.03177083333335,1
41.45052083333335,1
41.51458333333335,1
41.533333333333346,1
41.73593750000001,2
41.80520833333335,1
41.82135416666668,1
42.02656250000001,1
42.122916666666676,1
42.33072916666668,1
42.86666666666668,1
42.88020833333335,2
43.13593750000002,1
43.264062500000016,1
43.322916666666686,1
43.41354166666669,1
43.50156250000002,1
43.514583333333356,1
43.54114583333335,1
43.60000000000002,1
43.70937500000002,1
43.82656250000002,1
44.00781250000002,1
44.17343750000002,1
44.285416666666684,1
44.381250000000016,1
44.565104166666686,1
45.24531250000002,1
45.330729166666686,1
45.35468750000002,1
45.402604166666684,1
45.437500000000014,1
45.533333333333346,1
45.898437500000014,1
45.93854166666668,1
45.97343750000001,1
46.06666666666668,1
46.205208333333346,1
46.33854166666668,1
