Velocity,Frequency
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,2
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,2
56,1
57,0
58,0
59,2
60,0
61,2
62,0
63,2
64,3
65,5
66,6
67,5
68,14
69,6
70,8
71,10
72,8
73,13
74,10
75,15
76,10
77,7
78,7
79,5
80,4
81,7
82,3
83,0
84,0
85,2
86,0
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
