Velocity,Frequency
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,0
12,1
13,3
14,2
15,1
16,0
17,1
18,1
19,2
20,1
21,0
22,1
23,2
24,1
25,0
26,1
27,3
28,0
29,1
30,1
31,1
32,1
33,2
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,0
43,0
44,2
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
