Velocity,Frequency
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,0
23,1
24,0
25,2
26,1
27,0
28,0
29,0
30,1
31,2
32,1
33,0
34,0
35,1
36,0
37,0
38,2
39,0
40,0
41,0
42,1
43,1
44,2
45,2
46,1
47,2
48,0
49,1
50,1
51,0
52,0
53,2
54,0
55,1
56,0
57,2
58,1
59,0
60,1
61,0
62,0
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
