Velocity,Frequency
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,1
58,0
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,2
71,1
72,1
73,1
74,1
75,2
76,1
77,1
78,4
79,1
80,3
81,1
82,2
83,2
84,0
85,0
86,1
87,1
88,1
89,2
90,2
91,1
92,1
93,0
94,2
95,3
96,1
97,0
98,1
99,2
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
