Velocity,Frequency
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,2
21,1
22,2
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,0
31,0
32,2
33,2
34,2
35,2
36,2
37,1
38,1
39,0
40,2
41,1
42,1
43,0
44,0
45,2
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,2
72,3
73,0
74,0
75,0
76,1
77,0
78,4
79,2
80,5
81,3
82,5
83,2
84,3
85,0
86,3
87,1
88,1
89,1
90,1
91,4
92,1
93,1
94,1
95,0
96,1
97,0
98,0
99,0
100,2
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
