Velocity,Frequency
1,0
2,0
3,1
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,2
36,2
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,2
48,2
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,1
57,2
58,0
59,0
60,1
61,1
62,0
63,2
64,1
65,0
66,1
67,1
68,2
69,3
70,0
71,0
72,2
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,0
81,4
82,4
83,1
84,1
85,0
86,0
87,1
88,0
89,2
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
