Velocity,Frequency
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,2
56,3
57,2
58,0
59,2
60,0
61,0
62,1
63,1
64,0
65,1
66,2
67,2
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,4
76,2
77,2
78,0
79,1
80,2
81,3
82,2
83,3
84,0
85,1
86,2
87,1
88,1
89,0
90,1
91,0
92,2
93,0
94,0
95,1
96,2
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
