MIDI Value,Occurrences
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,2
46,2
47,4
48,4
49,5
50,7
51,9
52,12
53,14
54,14
55,16
56,16
57,16
58,17
59,17
60,18
61,18
62,18
63,18
64,18
65,18
66,18
67,18
68,18
69,16
70,15
71,15
72,14
73,14
74,14
75,13
76,12
77,12
78,9
79,9
80,8
81,8
82,8
83,7
84,7
85,5
86,5
87,4
88,4
89,4
90,4
91,4
92,4
93,3
94,3
95,2
96,2
97,2
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,0
108,0
